Period Name,Ward Description,Product Description,Quantity
 31-Jan-2014,Acute Medical Unit,Vancomycin 1g Vial,6.00
 27-Jan-2014,Acute Medical Unit,Fluconazole 100mg Capsule,7.00
 07-Jan-2014,Acute Medical Unit,Hydroxychloroquine 200mg Tablet,7.00
 01-Jan-2014,Acute Medical Unit,Hydroxychloroquine 200mg Tablet,14.00
 27-Jan-2014,Acute Medical Unit,Hydroxychloroquine 200mg Tablet,10.00
 16-Jan-2014,Acute Medical Unit,Meropenem 1g Vial,15.00
 03-Jan-2014,Acute Medical Unit,Amoxycillin 1g Vial,0.00
 23-Jan-2014,Acute Medical Unit,Amoxycillin 1g Vial,0.00
 31-Jan-2014,Acute Medical Unit,Amoxycillin 1g Vial,25.00
 03-Jan-2014,Acute Medical Unit,Amoxycillin 500mg Vial,0.00
 10-Jan-2014,Acute Medical Unit,Amoxycillin 500mg Vial,0.00
 31-Jan-2014,Acute Medical Unit,Amoxycillin 500mg Vial,10.00
 03-Jan-2014,Acute Medical Unit,Amoxycillin 1g Vial,30.00
 23-Jan-2014,Acute Medical Unit,Amoxycillin 500mg Capsule,20.00
 03-Jan-2014,Acute Medical Unit,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 03-Jan-2014,Acute Medical Unit,Azithromycin 500mg Vial,5.00
 23-Jan-2014,Acute Medical Unit,Azithromycin 500mg Vial,18.00
 31-Jan-2014,Acute Medical Unit,Azithromycin 500mg Vial,15.00
 10-Jan-2014,Acute Medical Unit,Azithromycin 500mg Tablet,6.00
 23-Jan-2014,Acute Medical Unit,Azithromycin 500mg Tablet,3.00
 02-Jan-2014,Acute Medical Unit,Benzylpenicillin 1.2g Vial,30.00
 10-Jan-2014,Acute Medical Unit,Benzylpenicillin 1.2g Vial,15.00
 23-Jan-2014,Acute Medical Unit,Benzylpenicillin 1.2g Vial,15.00
 31-Jan-2014,Acute Medical Unit,Benzylpenicillin 1.2g Vial,15.00
 02-Jan-2014,Acute Medical Unit,Benzylpenicillin 600mg Vial,30.00
 03-Jan-2014,Acute Medical Unit,Ceftriaxone 1g Vial,15.00
 10-Jan-2014,Acute Medical Unit,Ceftriaxone 1g Vial,10.00
 17-Jan-2014,Acute Medical Unit,Ceftriaxone 1g Vial,15.00
 23-Jan-2014,Acute Medical Unit,Ceftriaxone 1g Vial,15.00
 31-Jan-2014,Acute Medical Unit,Ceftriaxone 1g Vial,10.00
 15-Jan-2014,Acute Medical Unit,Cefuroxime 250mg Tablet,14.00
 31-Jan-2014,Acute Medical Unit,Cephalexin 500mg Capsule,20.00
 01-Jan-2014,Acute Medical Unit,Chloramphenicol 0.5% (5mg/mL) Eye Drop,1.00
 17-Jan-2014,Acute Medical Unit,Clindamycin 150mg Capsule,24.00
 17-Jan-2014,Acute Medical Unit,Clotrimazole 1% (10mg/g) Cream,1.00
 27-Jan-2014,Acute Medical Unit,Clotrimazole 1% (10mg/g) Cream,1.00
 27-Jan-2014,Acute Medical Unit,Clotrimazole 1% (10mg/g) Cream,3.00
 28-Jan-2014,Acute Medical Unit,Clotrimazole 1% Cream (10g) Clotrimazole Pessary 500mg (1)  Pack,1.00
 03-Jan-2014,Acute Medical Unit,Doxycycline 100mg Tablet,14.00
 08-Jan-2014,Acute Medical Unit,Doxycycline 100mg Tablet,28.00
 17-Jan-2014,Acute Medical Unit,Doxycycline 100mg Tablet,7.00
 23-Jan-2014,Acute Medical Unit,Doxycycline 100mg Tablet,7.00
 31-Jan-2014,Acute Medical Unit,Doxycycline 100mg Tablet,28.00
 17-Jan-2014,Acute Medical Unit,Flucloxacillin 1g Vial,20.00
 31-Jan-2014,Acute Medical Unit,Flucloxacillin 1g Vial,15.00
 17-Jan-2014,Acute Medical Unit,Flucloxacillin 1g Vial,0.00
 31-Jan-2014,Acute Medical Unit,Flucloxacillin 1g Vial,0.00
 23-Jan-2014,Acute Medical Unit,Flucloxacillin 500mg Capsule,24.00
 23-Jan-2014,Acute Medical Unit,Gentamicin 80mg/2mL Ampoule,10.00
 31-Jan-2014,Acute Medical Unit,Gentamicin 80mg/2mL Ampoule,50.00
 02-Jan-2014,Acute Medical Unit,Lincomycin 600mg/2mL Vial,20.00
 03-Jan-2014,Acute Medical Unit,Metronidazole 500mg/100mL Infusion,10.00
 20-Jan-2014,Acute Medical Unit,Metronidazole 500mg/100mL Infusion,20.00
 23-Jan-2014,Acute Medical Unit,Metronidazole 500mg/100mL Infusion,10.00
 31-Jan-2014,Acute Medical Unit,Metronidazole 500mg/100mL Infusion,10.00
 03-Jan-2014,Acute Medical Unit,Metronidazole 500mg Suppository,10.00
 17-Jan-2014,Acute Medical Unit,"Nystatin 100,000unit/mL Suspension 24mL",1.00
 23-Jan-2014,Acute Medical Unit,"Nystatin 100,000unit/mL Suspension 24mL",1.00
 03-Jan-2014,Acute Medical Unit,Piperacillin 4g Tazobactam 500mg  Vial,10.00
 08-Jan-2014,Acute Medical Unit,Piperacillin 4g Tazobactam 500mg  Vial,20.00
 10-Jan-2014,Acute Medical Unit,Piperacillin 4g Tazobactam 500mg  Vial,10.00
