Period Name,Ward Description,Product Description,Quantity
 02-Jan-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream (2g),1.00
 09-Feb-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 09-Feb-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 16-Mar-2015,Acute Medical Unit,Aciclovir 5% (50mg/g) Cream (2g),1.00
 30-Mar-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 25-Mar-2015,Intensive Care Unit,Aciclovir 5% (50mg/g) Cream (2g),1.00
 02-Apr-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 17-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream (2g),1.00
 09-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream (2g),1.00
 27-Jan-2015,Intensive Care Unit,Aciclovir 500mg/20mL Vial (5),5.00
